,shop_id,name,review_count,rating,latitude,longitude,price
57,Axg9e5GMO4XUiT8Cop1qFw,Fare and Folk,8,5.0,40.6874993384153,-73.9980131015181,None
58,-ogb8JWn8dvgzZA656EANA,Abraço,126,4.0,40.72739,-73.98613,$$
59,bmSYtYRPf6ycx-4xWhbHFg,Sey Coffee,82,4.5,40.705318,-73.932418,$
60,uk34HIU-ILX2A-FRs1Or3g,Kaffe 1668 South,680,4.0,40.715171,-74.010925,$$
61,STBNV2yArITdLJ1k5hfBig,Gotham Coffee Roasters,73,4.5,40.73975,-73.99269,$$
62,moo7CuKs4djrUCMHs4G_uQ,Café Integral,76,4.5,40.720384,-73.995213,$$
63,ypssRlm_KO3WFrm06vapiw,Kobrick Coffee,326,4.5,40.7403520674024,-74.005612602245,$$
64,o9Ipm--aunOX5BbcKY4ENw,FEED Shop & Cafe,15,4.0,40.703402,-73.99141,None
65,iyuZRb2jCnlj-ddYoX44dw,Sweetleaf,465,4.0,40.7432877579923,-73.9516040481087,$$
66,X85b5MKaSWNiiNl6nQqseA,Lazy Suzy Cafe & Shop,21,5.0,40.69946,-73.92549,None
67,QVFxBLZoKWNohMQYop2V9g,City of Saints Coffee Roasters,53,4.5,40.7087771,-73.9360653,$
68,fiZG5Ttjk428MIc9XvMBHQ,Office Coffee,16,4.5,40.7188170429165,-74.001034836826,$$
69,hWjWMY5HtHg1SS7kNAdOHw,Stumptown Coffee Roasters,35,4.0,40.68888,-73.99214,$$$
70,SWRz34fmNEDPcrngJMMo7Q,Butler,96,4.5,40.7117670177852,-73.9646924963509,$$
71,YpGxtJy9ErnjfGG6DXy5uA,Sweatshop,336,4.5,40.7149542040034,-73.959786,$
72,Az89sPJXLHZZyRT3f8Dkjw,Hungry Ghost,151,4.0,40.6860872,-73.9735729,$
73,-MDpSeMiCsvfz9TueedWwg,La Colombe Coffee,153,4.5,40.7056896627839,-74.0083486272612,$$
74,yUTsVnUME9zzrex1qmregw,Caffe Vita Lower East Side,175,4.5,40.7196994,-73.9884539,$$
75,2l0dBpaoPVQ1JwD7CaQu-w,Madman Espresso,253,4.0,40.7520356305538,-73.991293900852,$$
76,kA98xP8HiJ_-fVaM7RECLw,Laughing Man Coffee & Tea,220,4.5,40.71731,-74.01016,$$
77,I_f_KhuRonsQiQ1llhqVHQ,Kodawari Coffee,26,4.5,40.7183018824249,-73.9927714749158,$
78,aZ0S4F4RG3b4sYkkZbzwkw,PROOF Coffee Roasters,92,4.5,40.709487,-74.008651,$$
79,ALChdXIVE0712hrwMgPPCA,Pueblo Querido Coffee Roasters,39,5.0,40.7305599,-73.9518,$
80,vpSMOtkGeXC-IUMMwTZ0bg,Velvette Brew,61,5.0,40.6832,-73.99272,$
81,r8PoVfV5vKmrLxSjbcfQLA,Squarrel Cafe,5,5.0,40.68444,-73.97889,None
82,MYYWU9rEIRZw43lACKXzTQ,Yours Truly,83,4.0,40.7210275432472,-73.9944903889549,$$
83,kKdRGgLdzF-OCSpIftOTAA,Coffee Rx,247,4.5,40.6354921703071,-74.0259379148483,$$
84,ipygjHXH9PqQS6aqU54RcQ,Partners Coffee,462,4.0,40.71796,-73.95921,$$
85,LdD70vbg64ufRoMOw1Kjuw,Mighty Oak Roasters,22,5.0,40.77358,-73.91675,None
86,GmO-vuYIlKO8MexarMmlUA,Sawada Coffee,15,5.0,40.7183878,-74.0015522,None
87,ZnJZ8F17rLIZ3JbJQ2admw,Grounded,709,4.0,40.73806,-74.0034,$
88,qmug--sWLL23vwMFfuEmqQ,Northerly,62,4.5,40.71065,-73.95801,$
89,xHBpwGzxxbC3vTahHWdABg,Perk Kafe,372,4.5,40.747764735907,-73.9770407671092,$
90,vg4EDlakqAKwQik7Zx1s_A,Coperaco,7,4.0,40.629403,-74.074014,None
91,mRZaqNJqpS4YnRnCVRO5fQ,Blue Bottle Coffee,133,4.5,40.68736,-73.9897699,$$
92,4rcm8i8-nmOXisKj_1EsZg,Third Rail Coffee,103,4.0,40.729808,-73.987197,$
93,0sXTHdwbJ_TEZq2WNjmGXw,Irving Farm New York,547,4.0,40.78334,-73.97952,$$
94,NF0YMfLNRhqssVcwzF6fCg,Three Seat Espresso,184,4.5,40.7270545164507,-73.9829625981476,$$
95,X2iGIM2ziPwVPVVFGvGR9w,Laughing Man Coffee & Tea,83,4.0,40.71453,-74.01691,$$
96,E2gBcuJwsEsDnxeUV_suUA,Single Origin Cafe,1,5.0,40.686743,-73.990087,None
97,Toe219x40Dtq71_HOQ1OOg,La Colombe Coffee,349,4.0,40.719941,-74.003781,$$
